workload,hour_kst,total_cpu_cores_avg,total_cpu_cores_max,total_mem_MB_avg,total_mem_MB_max
orderapi,2026-08-27 08:00 KST,0.156,0.361,2008.2,2118.3
orderapi,2026-08-27 09:00 KST,0.135,0.259,1744.1,2212.1
orderapi,2026-08-27 10:00 KST,0.117,0.186,1362.0,1760.7
orderapi,2026-08-27 11:00 KST,0.135,0.316,1378.7,1903.1
orderapi,2026-08-27 12:00 KST,0.080,0.087,1471.2,1677.3
orderapi,2026-08-27 13:00 KST,0.046,0.074,1296.6,1498.2
orderapi,2026-08-27 14:00 KST,0.090,0.120,1014.6,1114.3
orderapi,2026-08-27 15:00 KST,0.012,0.079,573.9,931.2
orderapi,2026-08-27 16:00 KST,0.002,0.002,463.1,463.9
orderapi,2026-08-27 17:00 KST,0.001,0.001,463.0,463.2
orderapi,2026-08-27 18:00 KST,0.001,0.001,462.8,462.9
